alpha_ch1,beta_ch1,gamma_ch1,alpha_ch2,beta_ch2,gamma_ch2,thought
8.14901424590337,14.559742174634401,31.66241086251281,7.6276577326367825,13.554602558014027,31.688120158988646,Left
7.958520709648645,14.369853473165108,31.92774066464224,7.941884496766149,13.887518604424367,31.673292945808072,Pause
8.194306561430208,14.02385214796807,31.60379003950002,8.075918339973507,13.90720674881778,31.00217841368499,Right
8.456908956922408,13.74122528891777,31.84601923518048,8.766306297202057,14.089052138337363,31.73495490414928,Slower
7.929753987582999,14.279289325445436,31.053192666523106,8.366965937360126,13.35325665468767,32.26641454091087,Open
7.929758912915246,14.1573941541687,32.10664685368647,7.799355529270032,14.137026909538932,31.262883940461602,Awake
8.473763844652218,14.358077288011092,32.00060273768111,8.34581088682529,12.81824334735889,32.424241325525294,Back
8.230230418745872,14.254068720672787,31.591455684465906,7.7358088033184895,13.648046179054477,32.14388741054217,Thanks
7.8591576842195146,14.419821086127733,32.3296228342162,8.524807316166122,13.704690463019382,31.53288333901448,Down
8.16276801307579,13.785905915375773,32.46878506881328,8.058662604454636,14.153330730428495,31.829235181331075,Left
7.860974692156262,14.526957626253731,31.196220067815513,8.171909143378247,13.909052341070748,32.69916090382051,On
7.860281073928923,14.07903984187696,31.618637610716892,8.597738994262656,13.337774778457486,32.26677390675293,Out
8.07258868146981,14.830104349050107,31.61542882510635,7.813850929424724,13.506002749673193,31.90439182744907,Thanks
7.426015926602661,13.724324872764173,31.530048449445566,7.780864544466102,13.979472003818962,31.781158341519507,Sleep
7.4825246502460905,14.6943855212661,32.41473742096587,8.024920202096197,13.868373063254177,31.93830453522583,Delete
7.831313741227708,14.079164313385059,31.903086930613597,8.511513655305794,13.668350356145702,31.644118221028847,Thanks
7.696150663899673,13.73943279855422,31.867742579344693,7.7441961773569465,13.707666484195208,30.847625247140492,Close
8.094274199778582,13.806445666378272,30.99806881779662,7.350353320566828,14.178467198863716,32.921088955267365,Goodbye
7.727592777343637,13.871861076722272,32.31770901510461,8.0646523424773,13.692922970852315,31.9776624995997,Go
7.576308889599413,14.169666378560766,31.380370802573264,8.365522239973275,13.86476350238837,32.099073632561264,Out
8.439694630676467,14.2091341952142,32.029966315133166,8.560078524921648,14.767974635232218,31.871046125061543,Down
7.932267109854039,13.770519998424568,32.1386884689791,8.06105159137438,13.330526945246431,31.532441599637703,Faster
8.020258461406376,13.990258163095607,32.68032929791933,8.076572017865198,13.159262907370136,31.807037759525613,Start
7.572575544135963,14.856908143444745,31.345589800440443,8.546170220276723,14.213435865919443,31.100302618902845,Up
7.836685182642445,14.691017268040284,30.490243922089586,7.639077490091373,13.628542775482359,33.03854324902665,Go
8.03327677691296,14.174529467869613,32.09192477237685,8.083443767445097,13.772704988902952,31.2827440007888,Close
7.654701926773309,14.01520139126728,32.90025559075543,8.257127166977517,13.587537448747554,31.384016858076407,Pause
8.112709405503702,14.048012530687304,32.61947317646972,8.334765616385509,13.796079943692995,31.6798703978068,Help
7.819808393024359,14.245407189092166,32.104829707637315,8.047057992042735,14.539415244838537,32.54403786242619,Help
7.912491875062017,13.590882973920637,31.754181907183977,8.210332303511752,14.220851383447249,31.907254499631325,Yes
7.819488016331181,13.897049385030662,32.40356129831866,7.453501793976103,14.244889404754792,31.28193210198477,Down
8.555683455352682,13.332566370448964,31.513226900147767,8.002525476299844,13.333509177682942,32.52716918037867,On
7.99595083257862,14.159689249042112,32.238178884678106,8.33605261376634,13.439538505378852,32.26550031339274,Eat
